outcome,contrast,matched_sets,treatment_cells_per_set,repetitions_per_resume,unique_resumes,planned_evaluations,condition_level_sd,within_resume_call_sd,contrast_sd_after_repeats,target_effect,mde_alpha_05_power_80,mde_bonferroni_12_power_80,power_at_target_alpha_05,unit
fit_score,main_effect,32,4,1,128,128,0.4,0.6,0.7211102550927979,0.3,0.36868477662599625,0.5063429944970631,0.6255619844131365,score points
fit_score,interaction,32,4,1,128,128,0.4,0.6,1.4422205101855958,0.5,0.7373695532519925,1.0126859889941262,0.47626389708039774,score points
recommendation_probability,main_effect,32,4,1,128,128,0.15,0.35,0.3807886552931954,0.15,0.19468726082729007,0.2673789016727467,0.5788983758810669,probability
recommendation_probability,interaction,32,4,1,128,128,0.15,0.35,0.7615773105863908,0.2,0.38937452165458014,0.5347578033454934,0.3017674359210033,probability
fit_score,main_effect,32,4,2,128,256,0.4,0.6,0.5830951894845301,0.3,0.29812129028609075,0.4094327632082211,0.8049012315632166,score points
fit_score,interaction,32,4,2,128,256,0.4,0.6,1.1661903789690602,0.5,0.5962425805721815,0.8188655264164422,0.6516501712470414,score points
recommendation_probability,main_effect,32,4,2,128,256,0.15,0.35,0.2893959225697556,0.15,0.14796055154613497,0.20320553895097945,0.8106244936285308,probability
recommendation_probability,interaction,32,4,2,128,256,0.15,0.35,0.5787918451395112,0.2,0.29592110309226993,0.4064110779019589,0.47377845099259386,probability
fit_score,main_effect,32,4,3,128,384,0.4,0.6,0.5291502622129182,0.3,0.2705406626070676,0.3715541783181487,0.8741780889299371,score points
fit_score,interaction,32,4,3,128,384,0.4,0.6,1.0583005244258363,0.5,0.5410813252141352,0.7431083566362974,0.7353590114629251,score points
recommendation_probability,main_effect,32,4,3,128,384,0.15,0.35,0.2516611478423583,0.15,0.12866775007347747,0.1767092595024454,0.9041542372391992,probability
recommendation_probability,interaction,32,4,3,128,384,0.15,0.35,0.5033222956847166,0.2,0.25733550014695494,0.3534185190048908,0.5862522522876683,probability
