resume_id,matched_set_id,education_pathway,career_gap_months,word_count,sentence_count,skills_count,years_experience,quantified_achievement_count,readability_flesch,invariant_text_hash,education_line,continuity_line
c264db9b0ec4cec5,computer_systems_analyst_p1,nontraditional,0,78,2,5,6,2,-33.404,7a44a29c43146585ebc71e68919f69e94202810c20ea3143521a0c2afe30d53f,Non-traditional pathway; completed Bachelor's degree in Information Systems through part-time study,Continuous work history; no career break was recorded
27869966212b939c,computer_systems_analyst_p1,nontraditional,12,78,2,5,6,2,-32.319,7a44a29c43146585ebc71e68919f69e94202810c20ea3143521a0c2afe30d53f,Non-traditional pathway; completed Bachelor's degree in Information Systems through part-time study,Twelve-month career break; return to work was completed
2c45c80bbdd42131,computer_systems_analyst_p1,traditional,0,78,2,5,6,2,-32.319,7a44a29c43146585ebc71e68919f69e94202810c20ea3143521a0c2afe30d53f,Traditional pathway; completed Bachelor's degree in Information Systems through full-time study,Continuous work history; no career break was recorded
d5e04f232537353f,computer_systems_analyst_p1,traditional,12,78,2,5,6,2,-31.235,7a44a29c43146585ebc71e68919f69e94202810c20ea3143521a0c2afe30d53f,Traditional pathway; completed Bachelor's degree in Information Systems through full-time study,Twelve-month career break; return to work was completed
eb72495fd96130ff,computer_systems_analyst_p2,nontraditional,0,80,2,5,6,2,-25.172,1627e0734cbe22ccec9c38586f78c4790efc39fee36f2609d3eb09e06bc971ab,Non-traditional pathway; completed Bachelor's degree in Information Systems through part-time study,Continuous work history; no career break was recorded
2378a0b6e5f0378d,computer_systems_analyst_p2,nontraditional,12,80,2,5,6,2,-24.115,1627e0734cbe22ccec9c38586f78c4790efc39fee36f2609d3eb09e06bc971ab,Non-traditional pathway; completed Bachelor's degree in Information Systems through part-time study,Twelve-month career break; return to work was completed
88229cb1df5ed055,computer_systems_analyst_p2,traditional,0,80,2,5,6,2,-24.115,1627e0734cbe22ccec9c38586f78c4790efc39fee36f2609d3eb09e06bc971ab,Traditional pathway; completed Bachelor's degree in Information Systems through full-time study,Continuous work history; no career break was recorded
42be7fb01316670e,computer_systems_analyst_p2,traditional,12,80,2,5,6,2,-23.057,1627e0734cbe22ccec9c38586f78c4790efc39fee36f2609d3eb09e06bc971ab,Traditional pathway; completed Bachelor's degree in Information Systems through full-time study,Twelve-month career break; return to work was completed
8f003e445a4b5982,computer_systems_analyst_p3,nontraditional,0,76,2,5,6,2,-24.311,ed98504f7129856734eeb57e6568f763c678132d9ed1fa15cc67b63d66861c9e,Non-traditional pathway; completed Bachelor's degree in Information Systems through part-time study,Continuous work history; no career break was recorded
5719412322c8acab,computer_systems_analyst_p3,nontraditional,12,76,2,5,6,2,-23.198,ed98504f7129856734eeb57e6568f763c678132d9ed1fa15cc67b63d66861c9e,Non-traditional pathway; completed Bachelor's degree in Information Systems through part-time study,Twelve-month career break; return to work was completed
cdd00655b53382ee,computer_systems_analyst_p3,traditional,0,76,2,5,6,2,-23.198,ed98504f7129856734eeb57e6568f763c678132d9ed1fa15cc67b63d66861c9e,Traditional pathway; completed Bachelor's degree in Information Systems through full-time study,Continuous work history; no career break was recorded
30f5c47fe9c93a90,computer_systems_analyst_p3,traditional,12,76,2,5,6,2,-22.085,ed98504f7129856734eeb57e6568f763c678132d9ed1fa15cc67b63d66861c9e,Traditional pathway; completed Bachelor's degree in Information Systems through full-time study,Twelve-month career break; return to work was completed
14f1aa26365d39a1,computer_systems_analyst_p4,nontraditional,0,78,2,5,6,1,-32.319,0f64b58afdaa894b5f8fb6423524521c0e333b416eac45d5da4d27f94dfd83f2,Non-traditional pathway; completed Bachelor's degree in Information Systems through part-time study,Continuous work history; no career break was recorded
ddad5ac004a59621,computer_systems_analyst_p4,nontraditional,12,78,2,5,6,1,-31.235,0f64b58afdaa894b5f8fb6423524521c0e333b416eac45d5da4d27f94dfd83f2,Non-traditional pathway; completed Bachelor's degree in Information Systems through part-time study,Twelve-month career break; return to work was completed
664249771b3216d6,computer_systems_analyst_p4,traditional,0,78,2,5,6,1,-31.235,0f64b58afdaa894b5f8fb6423524521c0e333b416eac45d5da4d27f94dfd83f2,Traditional pathway; completed Bachelor's degree in Information Systems through full-time study,Continuous work history; no career break was recorded
